passage_id;question;passage
2003_844.txt/Art.5;Kiedy zostaną powołani sędziowie łowieccy oraz rzecznicy dyscyplinarni i ich zastępcy pierwszej kadencji?;Art. 5. 1. Sędziowie łowieccy oraz rzecznicy dyscyplinarni i ich zastępcy pierwszej kadencji zostaną powołani w terminie 90 dni od dnia wejścia w życie niniejszej ustawy. 2. Sprawy dyscyplinarne w toku zostaną przekazane rzecznikom dyscyplinarnym  powołanym zgodnie z art. 35o ust. 1 pkt 2 i ust. 2 pkt 2 ustawy zmienianej w art. 1  w brzmieniu nadanym niniejsza ustawą  w terminie 30 dni od dnia ich powołania.
1997_777.txt/Art.10;Kto określi wysokość składki na ubezpiecznie społeczne?;Art. 10. Rada Ministrów określi  w drodze rozporządzenia  wysokość składki na ubezpieczenie społeczne oraz sposób jej naliczania dla osób pozbawionych wolności oraz dla nieletnich zatrudnionych w gospodarstwach pomocniczych zakładów poprawczych i schronisk dla nieletnich.
1997_484.txt/Art.18;Kto określi wysokość składki na ubezpiecznie społeczne?;Art. 18. 1. Składki na Fundusz ustala się od wypłat stanowiących podstawę wymiaru składek na ubezpieczenie społeczne. 2. Wysokość składki na Fundusz ustala w drodze rozporządzenia Minister Pracy i Polityki Socjalnej w porozumieniu z Ministrem Finansów i Radą Funduszu. Stanowisko w sprawie obniżenia składki na Fundusz Rada Funduszu uchwala większością 3\4 głosów członków Rady.
1997_555.txt/Art.385;Od czego rozpoczyna się przewód sądowy?;Art. 385. § 1. Przewód sądowy rozpoczyna się od odczytania przez oskarżyciela aktu oskarżenia. § 2. W wypadku szczególnie obszernego uzasadnienia aktu oskarżenia można poprzestać na przedstawieniu podstaw oskarżenia. § 3. Jeżeli wniesiono odpowiedź na akt oskarżenia  przewodniczący informuje o jej treści.
1997_735.txt/Art.72;Od czego rozpoczyna się przewód sądowy?;Art. 72. §1. Przewód sądowy rozpoczyna się od odczytania wniosku o ukaranie. §2. Wniosek o ukaranie odczytuje oskarżyciel publiczny  jeżeli bierze udział w rozprawie  a w innym wypadku protokolant. §3. Jeżeli obwiniony przyznaje się do winy  a jego wyjaśnienia nie budzą wątpliwości  można nie przeprowadzać dalszych dowodów w razie  gdy żadna z obecnych stron temu się nie sprzeciwia.
"1997_555.txt/Art.453;Od czego rozpoczyna się przewód sądowy?;""Art. 453. § 1. Przewód sądowy w sądzie odwoławczym rozpoczyna ustne sprawozdanie  w którym sędzia sprawozdawca przedstawia przebieg i wyniki dotychczasowego postępowania  a w szczególności treść zaskarżonego wyroku oraz zarzuty i wnioski apelacyjne  jak również kwestie wymagające rozstrzygnięcia z urzędu. W miarę potrzeby odczytuje się z akt poszczególne ich części. § 2. Strony mogą składać wyjaśnienia  oświadczenia i wnioski ustnie lub na piśmie; złożone na piśmie podlegają odczytaniu  przy czym przepis art. 394 stosuje się. § 3. Przewodniczący udziela głosu stronom w kolejności przez siebie ustalonej  przy czym najpierw udziela głosu skarżącemu. Oskarżonemu i jego obrońcy nie można odmówić zabrania głosu po przemówieniach innych stron. "",,"
2004_623.txt/Art.30;Jakiej karze podlega osoba wprowadzająca do obrotu produkt kosmetyczny bez spełnienia wymogów dotyczących dokumentacji produktu?;Art. 30. Kto wprowadza do obrotu produkt kosmetyczny bez spełnienia wymogów dotyczących dokumentacji produktu  o których mowa w art. 11 ust. 2–4 rozporządzenia nr 1223/2009  podlega karze pieniężnej w wysokości do 100 000 zł.
2004_623.txt/Art.36;Jakiej karze podlega osoba wprowadzająca do obrotu produkt kosmetyczny bez spełnienia wymogów dotyczących dokumentacji produktu?;Art. 36. 1. Kto wprowadza do obrotu lub udostępnia na rynku produkt kosmetyczny bez spełnienia wymogów w zakresie oznakowania  o których mowa w art. 19 ust. 1–3  5 i 6 rozporządzenia nr 1223/2009  podlega karze pieniężnej w wysokości do 70 000 zł. 2. Tej samej karze podlega  kto wprowadza do obrotu lub udostępnia na rynku produkt kosmetyczny bez spełnienia wymogów określonych w art. 4.
2004_623.txt/Art.27;Jakiej karze podlega osoba wprowadzająca do obrotu produkt kosmetyczny bez spełnienia wymogów dotyczących dokumentacji produktu?;Art. 27. Kto wprowadza do obrotu produkt kosmetyczny bez spełnienia wymogów dotyczących oceny bezpieczeństwa  o której mowa w art. 10 rozporządzenia nr 1223/2009  podlega karze pieniężnej w wysokości do 100 000 zł.
2004_623.txt/Art.26;Jakiej karze podlega osoba wprowadzająca do obrotu produkt kosmetyczny bez spełnienia wymogów dotyczących dokumentacji produktu?;Art. 26. 1. Kto wytwarza produkt kosmetyczny bez zachowania zasad dobrej praktyki produkcji  podlega karze pieniężnej w wysokości do 50 000 zł. 2. Tej samej karze podlega osoba odpowiedzialna  która nie zapewnia  że produkt kosmetyczny jest wytwarzany z zachowaniem zasad dobrej praktyki produkcji.
